group,legacy_entity,role_id,initial_cost,required_alignment,task,pledge_exclusive,mount,mount_name,mount_armor,status
DORNE,GOTEntityDorneSoldierArcher,dorne_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
DORNE,GOTEntityDorneBannerBearer,dorne_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
DORNE,GOTEntityDorneSoldier,dorne_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
DORNE,GOTEntityDorneBannerBearer,dorne_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
DRAGONSTONE,GOTEntityDragonstoneLevyman,dragonstone_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
DRAGONSTONE,GOTEntityDragonstoneLevymanArcher,dragonstone_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
DRAGONSTONE,GOTEntityDragonstoneSoldier,dragonstone_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
DRAGONSTONE,GOTEntityDragonstoneSoldierArcher,dragonstone_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
DRAGONSTONE,GOTEntityDragonstoneBannerBearer,dragonstone_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
DRAGONSTONE,GOTEntityDragonstoneSoldier,dragonstone_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
DRAGONSTONE,GOTEntityDragonstoneBannerBearer,dragonstone_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
GHISCAR,GOTEntityGhiscarLevyman,ghiscar_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
GHISCAR,GOTEntityGhiscarLevymanArcher,ghiscar_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
GHISCAR,GOTEntityGhiscarSoldier,ghiscar_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
GHISCAR,GOTEntityGhiscarSoldierArcher,ghiscar_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
GHISCAR,GOTEntityGhiscarBannerBearer,ghiscar_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
GHISCAR,GOTEntityGhiscarSoldier,ghiscar_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
GHISCAR,GOTEntityGhiscarBannerBearer,ghiscar_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
IRONBORN,GOTEntityIronbornLevyman,ironborn_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
IRONBORN,GOTEntityIronbornLevymanArcher,ironborn_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
IRONBORN,GOTEntityIronbornSoldier,ironborn_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
IRONBORN,GOTEntityIronbornSoldierArcher,ironborn_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
IRONBORN,GOTEntityIronbornBannerBearer,ironborn_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
IRONBORN,GOTEntityIronbornSoldier,ironborn_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
IRONBORN,GOTEntityIronbornBannerBearer,ironborn_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LORATH,GOTEntityLorathLevyman,lorath_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
LORATH,GOTEntityLorathLevymanArcher,lorath_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
LORATH,GOTEntityLorathSoldier,lorath_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LORATH,GOTEntityLorathSoldierArcher,lorath_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
LORATH,GOTEntityLorathBannerBearer,lorath_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LORATH,GOTEntityLorathSoldier,lorath_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LORATH,GOTEntityLorathBannerBearer,lorath_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LYS,GOTEntityLysLevyman,lys_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
LYS,GOTEntityLysLevymanArcher,lys_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
LYS,GOTEntityLysSoldier,lys_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LYS,GOTEntityLysSoldierArcher,lys_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
LYS,GOTEntityLysBannerBearer,lys_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LYS,GOTEntityLysSoldier,lys_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LYS,GOTEntityLysBannerBearer,lys_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
MYR,GOTEntityMyrLevyman,myr_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
MYR,GOTEntityMyrLevymanArcher,myr_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
MYR,GOTEntityMyrSoldier,myr_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
MYR,GOTEntityMyrSoldierArcher,myr_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
MYR,GOTEntityMyrBannerBearer,myr_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
MYR,GOTEntityMyrSoldier,myr_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
MYR,GOTEntityMyrBannerBearer,myr_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
NORTH,GOTEntityNorthLevyman,north_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH,GOTEntityNorthLevymanArcher,north_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH,GOTEntityNorthSoldier,north_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH,GOTEntityNorthSoldierArcher,north_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH,GOTEntityNorthBannerBearer,north_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH,GOTEntityNorthSoldier,north_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
NORTH,GOTEntityNorthBannerBearer,north_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
NORVOS,GOTEntityNorvosLevyman,norvos_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORVOS,GOTEntityNorvosLevymanArcher,norvos_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORVOS,GOTEntityNorvosSoldier,norvos_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORVOS,GOTEntityNorvosSoldierArcher,norvos_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORVOS,GOTEntityNorvosBannerBearer,norvos_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
NORVOS,GOTEntityNorvosSoldier,norvos_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
NORVOS,GOTEntityNorvosBannerBearer,norvos_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
PENTOS,GOTEntityPentosLevyman,pentos_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
PENTOS,GOTEntityPentosLevymanArcher,pentos_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
PENTOS,GOTEntityPentosSoldier,pentos_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
PENTOS,GOTEntityPentosSoldierArcher,pentos_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
PENTOS,GOTEntityPentosBannerBearer,pentos_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
PENTOS,GOTEntityPentosSoldier,pentos_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
PENTOS,GOTEntityPentosBannerBearer,pentos_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
QARTH,GOTEntityQarthLevyman,qarth_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
QARTH,GOTEntityQarthLevymanArcher,qarth_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
QARTH,GOTEntityQarthSoldier,qarth_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
QARTH,GOTEntityQarthSoldierArcher,qarth_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
QARTH,GOTEntityQarthBannerBearer,qarth_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
QARTH,GOTEntityQarthSoldier,qarth_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
QARTH,GOTEntityQarthBannerBearer,qarth_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
QOHOR,GOTEntityQohorLevyman,qohor_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorLevymanArcher,qohor_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorSoldier,qohor_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorSoldierArcher,qohor_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorBannerBearer,qohor_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorUnsullied,qohor_unsullied,30,80.0,WARRIOR,False,,,,ACTIVE_1_0
QOHOR,GOTEntityQohorSoldier,qohor_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
QOHOR,GOTEntityQohorBannerBearer,qohor_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
REACH,GOTEntityReachLevyman,reach_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
REACH,GOTEntityReachLevymanArcher,reach_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
REACH,GOTEntityReachSoldier,reach_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
REACH,GOTEntityReachSoldierArcher,reach_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
REACH,GOTEntityReachBannerBearer,reach_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
REACH,GOTEntityReachSoldier,reach_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
REACH,GOTEntityReachBannerBearer,reach_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
RIVERLANDS,GOTEntityRiverlandsLevyman,riverlands_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
RIVERLANDS,GOTEntityRiverlandsLevymanArcher,riverlands_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
RIVERLANDS,GOTEntityRiverlandsSoldier,riverlands_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
RIVERLANDS,GOTEntityRiverlandsSoldierArcher,riverlands_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
RIVERLANDS,GOTEntityRiverlandsBannerBearer,riverlands_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
RIVERLANDS,GOTEntityRiverlandsSoldier,riverlands_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
RIVERLANDS,GOTEntityRiverlandsBannerBearer,riverlands_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
STORMLANDS,GOTEntityStormlandsLevyman,stormlands_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
STORMLANDS,GOTEntityStormlandsLevymanArcher,stormlands_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
STORMLANDS,GOTEntityStormlandsSoldier,stormlands_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
STORMLANDS,GOTEntityStormlandsSoldierArcher,stormlands_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
STORMLANDS,GOTEntityStormlandsBannerBearer,stormlands_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
STORMLANDS,GOTEntityStormlandsSoldier,stormlands_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
STORMLANDS,GOTEntityStormlandsBannerBearer,stormlands_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
TYROSH,GOTEntityTyroshLevyman,tyrosh_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
TYROSH,GOTEntityTyroshLevymanArcher,tyrosh_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
TYROSH,GOTEntityTyroshSoldier,tyrosh_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
TYROSH,GOTEntityTyroshSoldierArcher,tyrosh_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
TYROSH,GOTEntityTyroshBannerBearer,tyrosh_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
TYROSH,GOTEntityTyroshSoldier,tyrosh_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
TYROSH,GOTEntityTyroshBannerBearer,tyrosh_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
VOLANTIS,GOTEntityVolantisLevyman,volantis_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
VOLANTIS,GOTEntityVolantisLevymanArcher,volantis_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
VOLANTIS,GOTEntityVolantisSoldier,volantis_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
VOLANTIS,GOTEntityVolantisSoldierArcher,volantis_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
VOLANTIS,GOTEntityVolantisBannerBearer,volantis_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
VOLANTIS,GOTEntityVolantisSoldier,volantis_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
VOLANTIS,GOTEntityVolantisBannerBearer,volantis_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
WESTERLANDS,GOTEntityWesterlandsLevyman,westerlands_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
WESTERLANDS,GOTEntityWesterlandsLevymanArcher,westerlands_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
WESTERLANDS,GOTEntityWesterlandsSoldier,westerlands_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
WESTERLANDS,GOTEntityWesterlandsSoldierArcher,westerlands_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
WESTERLANDS,GOTEntityWesterlandsBannerBearer,westerlands_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
WESTERLANDS,GOTEntityWesterlandsSoldier,westerlands_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
WESTERLANDS,GOTEntityWesterlandsBannerBearer,westerlands_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LHAZAR,GOTEntityLhazarLevyman,lhazar_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
LHAZAR,GOTEntityLhazarLevymanArcher,lhazar_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
LHAZAR,GOTEntityLhazarSoldier,lhazar_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LHAZAR,GOTEntityLhazarSoldierArcher,lhazar_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
LHAZAR,GOTEntityLhazarBannerBearer,lhazar_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
LHAZAR,GOTEntityLhazarSoldier,lhazar_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
LHAZAR,GOTEntityLhazarBannerBearer,lhazar_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
SUMMER,GOTEntitySummerLevyman,summer_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
SUMMER,GOTEntitySummerLevymanArcher,summer_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
SUMMER,GOTEntitySummerSoldier,summer_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
SUMMER,GOTEntitySummerSoldierArcher,summer_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
SUMMER,GOTEntitySummerBannerBearer,summer_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
SUMMER,GOTEntitySummerSoldier,summer_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
SUMMER,GOTEntitySummerBannerBearer,summer_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
GHISCAR_UNSULLIED,GOTEntityGhiscarUnsullied,ghiscar_unsullied,30,80.0,WARRIOR,False,,,,ACTIVE_1_0
GIFT,GOTEntityGiftGuard,gift_guard,10,60.0,WARRIOR,True,,,,ACTIVE_1_0
GIFT,GOTEntityGiftBannerBearer,gift_banner_bearer,10,60.0,WARRIOR,True,,,,ACTIVE_1_0
CROWNLANDS,GOTEntityCrownlandsLevyman,crownlands_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
CROWNLANDS,GOTEntityCrownlandsLevymanArcher,crownlands_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
KINGSGUARD,GOTEntityKingsguard,kingsguard,20,70.0,WARRIOR,True,,,,ACTIVE_1_0
ASSHAI,GOTEntityAsshaiWarrior,asshai_warrior,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
ASSHAI,GOTEntityAsshaiSpherebinder,asshai_spherebinder,50,100.0,WARRIOR,True,,,,ACTIVE_1_0
ASSHAI,GOTEntityAsshaiShadowbinder,asshai_shadowbinder,50,100.0,WARRIOR,True,,,,ACTIVE_1_0
ASSHAI,GOTEntityAsshaiBannerBearer,asshai_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
WILDLING,GOTEntityWildlingWarrior,wildling_warrior,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
WILDLING,GOTEntityWildlingArcher,wildling_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
WILDLING,GOTEntityWildlingAxeThrower,wildling_axe_thrower,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
WILDLING,GOTEntityWildlingBannerBearer,wildling_banner_bearer,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
WILDLING,GOTEntityGiant,giant,50,100.0,WARRIOR,True,,,,ACTIVE_1_0
THENN,GOTEntityThennWarrior,thenn_warrior,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
THENN,GOTEntityThennArcher,thenn_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
THENN,GOTEntityThennAxeThrower,thenn_axe_thrower,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
THENN,GOTEntityThennBannerBearer,thenn_banner_bearer,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
THENN,GOTEntityGiant,giant,50,100.0,WARRIOR,True,,,,ACTIVE_1_0
HILLMEN,GOTEntityHillmanWarrior,hillman_warrior,10,60.0,WARRIOR,False,,,,MISSING_CURRENT_ROLE
HILLMEN,GOTEntityHillmanArcher,hillman_archer,15,60.0,WARRIOR,False,,,,MISSING_CURRENT_ROLE
HILLMEN,GOTEntityHillmanAxeThrower,hillman_axe_thrower,15,60.0,WARRIOR,False,,,,MISSING_CURRENT_ROLE
HILLMEN,GOTEntityHillmanBannerBearer,hillman_banner_bearer,10,60.0,WARRIOR,False,,,,MISSING_CURRENT_ROLE
HILLMEN,GOTEntityHillmanBerserker,hillman_berserker,20,70.0,WARRIOR,True,,,,MISSING_CURRENT_ROLE
NORTH_HILLMEN,GOTEntityNorthHillmanWarrior,north_hillman_warrior,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH_HILLMEN,GOTEntityNorthHillmanArcher,north_hillman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH_HILLMEN,GOTEntityNorthHillmanAxeThrower,north_hillman_axe_thrower,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH_HILLMEN,GOTEntityNorthHillmanBannerBearer,north_hillman_banner_bearer,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
NORTH_HILLMEN,GOTEntityNorthHillmanWarrior,north_hillman_warrior,25,75.0,WARRIOR,True,GOTEntityWoolyRhino,Rider,,DEFERRED_MOUNT
JOGOS_NHAI,GOTEntityJogosNhaiMan,jogos_nhai_man,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
JOGOS_NHAI,GOTEntityJogosNhaiArcher,jogos_nhai_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
JOGOS_NHAI,GOTEntityJogosNhaiMan,jogos_nhai_man,15,65.0,WARRIOR,False,GOTEntityZebra,Rider,,DEFERRED_MOUNT
JOGOS_NHAI,GOTEntityJogosNhaiArcher,jogos_nhai_archer,20,65.0,WARRIOR,False,GOTEntityZebra,Rider,,DEFERRED_MOUNT
DOTHRAKI,GOTEntityDothraki,dothraki,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
DOTHRAKI,GOTEntityDothrakiArcher,dothraki_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
DOTHRAKI,GOTEntityDothraki,dothraki,10,60.0,WARRIOR,False,GOTEntityHorse,Rider,,DEFERRED_MOUNT
DOTHRAKI,GOTEntityDothrakiArcher,dothraki_archer,15,60.0,WARRIOR,False,GOTEntityHorse,Rider,,DEFERRED_MOUNT
IBBEN,GOTEntityIbbenLevyman,ibben_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
IBBEN,GOTEntityIbbenLevymanArcher,ibben_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
IBBEN,GOTEntityIbbenSoldier,ibben_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
IBBEN,GOTEntityIbbenSoldierArcher,ibben_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
IBBEN,GOTEntityIbbenBannerBearer,ibben_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
SOTHORYOS,GOTEntitySothoryosWarrior,sothoryos_warrior,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
