constant,legacy_id,name,faction
WOODWRIGHT,402,woodwright,REACH
GRACEFORD,403,graceford,REACH
INCHFIELD,404,inchfield,REACH
LEYGOOD,405,leygood,REACH
KIDWELL,406,kidwell,REACH
NORCROSS,407,norcross,REACH
RISLEY,408,risley,REACH
ROXTON,409,roxton,REACH
WYTHERS,410,wythers,REACH
HUNT,411,hunt,REACH
BRIDGES,412,bridges,REACH
BUSHY,413,bushy,REACH
DUNN,414,dunn,REACH
HASTWYCK,416,hastwyck,REACH
HUTCHESON,417,hutcheson,REACH
LOWTHER,418,lowther,REACH
LYBERR,419,lyberr,REACH
MORGRYN,420,morgryn,REACH
NORRIDGE,421,norridge,REACH
ORME,423,orme,REACH
OVERTON,424,overton,REACH
POMMINGHAM,425,pommingham,REACH
RHYSLING,426,rhysling,REACH
SLOANE,427,sloane,REACH
STACKHOUSE,428,stackhouse,REACH
WESTBROOK,430,westbrook,REACH
WHITEGROVE,431,whitegrove,REACH
BRONN,432,bronn,REACH
GARDENER,583,gardener,REACH
GARDENERBOOK,584,gardenerBook,REACH
FIREBALL,585,fireball,REACH
STRICKLAND,586,strickland,REACH
ROBERTASHFORD,587,robertashford,REACH
BENNIS,588,bennis,REACH
DERRICKFOSSOWAY,589,derrickfossoway,REACH
MARTELL,433,martell,DORNE
MARTELLBOOK,434,martellBook,DORNE
OBERYN,435,oberyn,DORNE
SANDSNAKES,436,sandsnakes,DORNE
YRONWOOD,437,yronwood,DORNE
ALLYRION,438,allyrion,DORNE
BLACKMONT,439,blackmont,DORNE
VAITH,440,vaith,DORNE
WYL,441,wyl,DORNE
GARGALEN,442,gargalen,DORNE
DAYNE,443,dayne,DORNE
JORDAYNE,444,jordayne,DORNE
QORGILE,445,qorgile,DORNE
MANWOODY,446,manwoody,DORNE
TOLAND,447,toland,DORNE
ULLER,448,uller,DORNE
FOWLER,449,fowler,DORNE
FOWLERBOOK,450,fowlerBook,DORNE
DALT,451,dalt,DORNE
DAYNEHH,452,dayneHH,DORNE
SANTAGAR,453,santagar,DORNE
DRINKWATER,454,drinkwater,DORNE
LADYBRIGHT,455,ladybright,DORNE
TARWICK,456,tarwick,DORNE
WELLSD,457,wellsD,DORNE
MORS,590,mors,DORNE
MORSBOOK,591,morsBook,DORNE
NYMERIA,592,nymeria,DORNE
DRYLAND,593,dryland,DORNE
VULTUREKING,594,vultureking,DORNE
BRAAVOS,458,braavos,BRAAVOS
IRON_BANK,459,iron_bank,BRAAVOS
VOLANTIS,469,volantis,VOLANTIS
TIGERS,470,tigers,VOLANTIS
ELEPHANTS,471,elephants,VOLANTIS
PENTOS,460,pentos,PENTOS
MOPATIS,461,mopatis,PENTOS
NORVOS,467,norvos,NORVOS
LORATH,462,lorath,LORATH
QOHOR,466,qohor,QOHOR
LYS,464,lys,LYS
SAAN,465,saan,LYS
MYR,463,myr,MYR
TYROSH,468,tyrosh,TYROSH
GHISCAR,473,ghiscar,GHISCAR
ASTAPOR,474,astapor,GHISCAR
YUNKAI,475,yunkai,GHISCAR
MEEREEN,476,meereen,GHISCAR
NEWGHIS,477,newghis,GHISCAR
LORAQ,478,loraq,GHISCAR
QARTH,479,qarth,QARTH
LHAZAR,472,lhazar,LHAZAR
IBBEN,480,ibben,IBBEN
JOGOS_NHAI,616,jogos_nhai,JOGOS_NHAI
MOSSOVY,615,mossovy,MOSSOVY
YI_TI,482,yi_ti,YI_TI
YI_TI_BU,483,yi_ti_bu,YI_TI
YI_TI_CHOQ,484,yi_ti_choq,YI_TI
YI_TI_HAR,485,yi_ti_har,YI_TI
YI_TI_JAR,486,yi_ti_jar,YI_TI
YI_TI_LO,487,yi_ti_lo,YI_TI
YI_TI_MAROON,488,yi_ti_maroon,YI_TI
YI_TI_MENGO,489,yi_ti_mengo,YI_TI
YI_TI_PEARL,490,yi_ti_pearl,YI_TI
YI_TI_PURPLE,491,yi_ti_purple,YI_TI
YI_TI_QO,492,yi_ti_qo,YI_TI
LENG,493,leng,YI_TI
ASSHAI,614,asshai,ASSHAI
SUMMER,481,summer,SUMMER_ISLANDS
SOTHORYOS,494,sothoryos,SOTHORYOS
CLEOS,244,cleos,UNALIGNED
SPARROW,500,sparrow,UNALIGNED
MAESTERS,501,maesters,UNALIGNED
SECONDSONS,502,secondsons,UNALIGNED
GOLDEN_COMPANY,503,golden_company,UNALIGNED
WINDBLOWN,504,windblown,UNALIGNED
STORMCROWS,505,stormcrows,UNALIGNED
BRAVECOMPANIONS,506,bravecompanions,UNALIGNED
WARRIORSSONS,507,warriorsSons,UNALIGNED
POORFELLOWS,508,poorFellows,UNALIGNED
ANDAL,509,andal,UNALIGNED
SEPT,510,sept,UNALIGNED
FACELESS,511,faceless,UNALIGNED
BROTHERHOOD,514,brotherhood,UNALIGNED
RHLLOR,515,rhllor,UNALIGNED
WHITE,516,white,UNALIGNED
TARGARYEN,517,targaryen,UNALIGNED
TARGARYENBOOK,518,targaryenBook,UNALIGNED
BLACKFYRE,519,blackfyre,UNALIGNED
BLACKFYREBOOK,520,blackfyreBook,UNALIGNED
BLACKS,521,blacks,UNALIGNED
BLACKSBOOK,522,blacksBook,UNALIGNED
GREENS,523,greens,UNALIGNED
GREENSBOOK,524,greensBook,UNALIGNED
AEMON,525,aemon,UNALIGNED
AEMONBOOK,526,aemonBook,UNALIGNED
AERION,527,aerion,UNALIGNED
AERIONBOOK,528,aerionBook,UNALIGNED
VALARR,529,valarr,UNALIGNED
VALARRBOOK,530,valarrBook,UNALIGNED
BITTERSTEEL,531,bittersteel,UNALIGNED
BLOODRAVEN,532,bloodraven,UNALIGNED
BLOODRAVENBOOK,533,bloodravenBook,UNALIGNED
SEASTAR,534,seastar,UNALIGNED
MAEKAR,535,maekar,UNALIGNED
MAEKARBOOK,536,maekarBook,UNALIGNED
DAEMON,537,daemon,UNALIGNED
TRUEFYRE,538,truefyre,UNALIGNED
DAERON,539,daeron,UNALIGNED
DAERONBOOK,540,daeronBook,UNALIGNED
RHAEGAR,541,rhaegar,UNALIGNED
YOUNGGRIFF,542,youngGriff,UNALIGNED
JONCONNINGTON,543,jonconnington,UNALIGNED
UNDERLEAF,544,underleaf,UNALIGNED
ROSSART,545,rossart,UNALIGNED
BELAERYS,595,belaerys,UNALIGNED
GALTRY,596,galtry,UNALIGNED
ILLIFER,597,illifer,UNALIGNED
CREIGHTON,598,creighton,UNALIGNED
LEATHER,601,leather,UNALIGNED
NULL,617,null,UNALIGNED
