legacy_java_field,proposed_1_20_registry_id,matching_texture,status
copperCrossbow,copper_crossbow,True,pending
copperDagger,copper_dagger,True,migrated-m1
copperDaggerPoisoned,copper_dagger_poisoned,True,pending
copperGreatsword,copper_greatsword,True,migrated-m1
copperHammer,copper_hammer,True,pending
copperHelmet,copper_helmet,True,pending
copperHoe,copper_hoe,True,pending
copperIngot,copper_ingot,True,migrated-m1
copperLeggings,copper_leggings,True,pending
copperLongsword,copper_longsword,True,migrated-m1
copperMattock,copper_mattock,True,pending
copperNugget,copper_nugget,True,migrated-catch-up-4
copperPickaxe,copper_pickaxe,True,pending
copperPike,copper_pike,True,pending
copperRing,copper_ring,True,pending
copperScimitar,copper_scimitar,True,pending
copperShovel,copper_shovel,True,pending
copperSpear,copper_spear,True,pending
copperSword,copper_sword,True,pending
copperThrowingAxe,copper_throwing_axe,True,pending
coral,coral,True,pending
corn,corn,True,pending
cornBread,corn_bread,True,migrated-m1
cornCooked,corn_cooked,True,migrated-m1
cranberry,cranberry,True,migrated-m1
crossbowBolt,crossbow_bolt,True,pending
crossbowBoltPoisoned,crossbow_bolt_poisoned,True,pending
crowbar,crowbar,True,pending
crownlandsBoots,crownlands_boots,True,pending
crownlandsChestplate,crownlands_chestplate,True,pending
crownlandsHelmet,crownlands_helmet,True,pending
crownlandsLeggings,crownlands_leggings,True,pending
cutwave,cutwave,True,pending
darkSister,dark_sister,True,pending
darkstar,darkstar,True,pending
dart,dart,True,pending
dartPoisoned,dart_poisoned,True,pending
date,date,True,pending
dawn,dawn,True,pending
deerCooked,deer_cooked,True,pending
deerRaw,deer_raw,True,pending
diamond,diamond,True,pending
diamondHorseArmor,diamond_horse_armor,False,pending
diamondMattock,diamond_mattock,True,pending
dorneBoots,dorne_boots,True,pending
dorneChestplate,dorne_chestplate,True,pending
dorneHelmet,dorne_helmet,True,pending
dorneLeggings,dorne_leggings,True,pending
dothrakiBoots,dothraki_boots,True,pending
dothrakiChestplate,dothraki_chestplate,True,pending
dothrakiHelmet,dothraki_helmet,True,pending
dothrakiLeggings,dothraki_leggings,True,pending
dragonstoneBoots,dragonstone_boots,True,pending
dragonstoneChestplate,dragonstone_chestplate,True,pending
dragonstoneHelmet,dragonstone_helmet,True,pending
dragonstoneLeggings,dragonstone_leggings,True,pending
dye,dye,False,pending
elderberry,elderberry,True,pending
elephantCooked,elephant_cooked,True,pending
elephantRaw,elephant_raw,True,pending
emerald,emerald,True,pending
featherDyed,feather_dyed,False,pending
fin,fin,True,pending
firePot,fire_pot,True,pending
flax,flax,True,pending
flaxSeeds,flax_seeds,True,pending
fur,fur,True,pending
furBed,fur_bed,True,pending
furBoots,fur_boots,True,pending
furChestplate,fur_chestplate,True,pending
furHelmet,fur_helmet,True,pending
furLeggings,fur_leggings,True,pending
fuse,fuse,True,pending
gammon,gammon,True,pending
gateGear,gate_gear,True,pending
ghiscarBoots,ghiscar_boots,True,pending
ghiscarChestplate,ghiscar_chestplate,True,pending
ghiscarHelmet,ghiscar_helmet,True,pending
ghiscarLeggings,ghiscar_leggings,True,pending
giftBoots,gift_boots,True,pending
giftChestplate,gift_chestplate,True,pending
giftHelmet,gift_helmet,True,pending
giftLeggings,gift_leggings,True,pending
gingerbread,gingerbread,True,pending
giraffeRug,giraffe_rug,False,pending
gobletBronze,goblet_bronze,True,pending
gobletCopper,goblet_copper,True,pending
gobletGold,goblet_gold,True,pending
gobletSilver,goblet_silver,True,pending
gobletValyrian,goblet_valyrian,True,pending
gobletWood,goblet_wood,True,pending
goldBattleaxe,gold_battleaxe,True,pending
goldChainmailBoots,gold_chainmail_boots,True,pending
goldChainmailChestplate,gold_chainmail_chestplate,True,pending
goldChainmailHelmet,gold_chainmail_helmet,True,pending
goldChainmailLeggings,gold_chainmail_leggings,True,pending
goldCrossbow,gold_crossbow,True,pending
goldDagger,gold_dagger,True,pending
goldDaggerPoisoned,gold_dagger_poisoned,True,pending
goldGreatsword,gold_greatsword,True,pending
goldHammer,gold_hammer,True,pending
goldHorseArmor,gold_horse_armor,False,pending
goldLongsword,gold_longsword,True,pending
goldMattock,gold_mattock,True,pending
goldPike,gold_pike,True,pending
goldRing,gold_ring,True,pending
goldScimitar,gold_scimitar,True,pending
goldSpear,gold_spear,True,pending
goldThrowingAxe,gold_throwing_axe,True,pending
goldenCompanyBoots,golden_company_boots,True,pending
goldenCompanyChestplate,golden_company_chestplate,True,pending
goldenCompanyHelmet,golden_company_helmet,True,pending
goldenCompanyLeggings,golden_company_leggings,True,pending
grapeRed,grape_red,True,pending
grapeWhite,grape_white,True,pending
gregorCleganeSword,gregor_clegane_sword,True,pending
handGold,hand_gold,True,pending
handSilver,hand_silver,True,pending
harpoon,harpoon,True,pending
harpy,harpy,True,pending
hearteater,hearteater,True,pending
heartsbane,heartsbane,True,pending
hillmenBoots,hillmen_boots,True,pending
hillmenChestplate,hillmen_chestplate,True,pending
hillmenHelmet,hillmen_helmet,True,pending
hillmenLeggings,hillmen_leggings,True,pending
honor,honor,True,pending
horn,horn,True,pending
ibbenBoots,ibben_boots,True,pending
ibbenChestplate,ibben_chestplate,True,pending
ibbenLeggings,ibben_leggings,True,pending
ice,ice,True,pending
iceHeavySword,ice_heavy_sword,True,pending
iceShard,ice_shard,True,pending
iceSpear,ice_spear,True,pending
iceSword,ice_sword,True,pending
iconHeraldry,icon_heraldry,True,migrated-heraldry
iconSword,icon_sword,True,pending
indomitable,indomitable,True,pending
ironBattleaxe,iron_battleaxe,True,pending
ironCrossbow,iron_crossbow,True,pending
ironDagger,iron_dagger,True,pending
ironDaggerPoisoned,iron_dagger_poisoned,True,pending
ironGreatsword,iron_greatsword,True,pending
ironHammer,iron_hammer,True,pending
ironHorseArmor,iron_horse_armor,False,pending
ironLongsword,iron_longsword,True,pending
ironMattock,iron_mattock,True,pending
ironNugget,iron_nugget,True,pending
ironPike,iron_pike,True,pending
ironScimitar,iron_scimitar,True,pending
ironSpear,iron_spear,True,pending
ironThrowingAxe,iron_throwing_axe,True,pending
ironbornBoots,ironborn_boots,True,pending
ironbornChestplate,ironborn_chestplate,True,pending
ironbornHelmet,ironborn_helmet,True,pending
ironbornLeggings,ironborn_leggings,True,pending
joffreyBaratheonCrossbow,joffrey_baratheon_crossbow,True,pending
jogosNhaiBoots,jogos_nhai_boots,True,pending
jogosNhaiChestplate,jogos_nhai_chestplate,True,pending
jogosNhaiHelmet,jogos_nhai_helmet,True,pending
jogosNhaiLeggings,jogos_nhai_leggings,True,pending
justMaid,just_maid,True,pending
katana,katana,True,pending
kebab,kebab,True,pending
kingsguardBoots,kingsguard_boots,True,pending
kingsguardChestplate,kingsguard_chestplate,True,pending
kingsguardHelmet,kingsguard_helmet,True,pending
kingsguardLeggings,kingsguard_leggings,True,pending
ladyForlorn,lady_forlorn,True,pending
lamentation,lamentation,True,pending
leatherHat,leather_hat,True,migrated-catch-up-4
leek,leek,True,pending
leekSoup,leek_soup,True,pending
lemon,lemon,True,pending
lemonCake,lemon_cake,True,pending
lettuce,lettuce,True,pending
lhazarBoots,lhazar_boots,True,pending
lhazarChestplate,lhazar_chestplate,True,pending
lhazarHelmet,lhazar_helmet,True,pending
lhazarLeggings,lhazar_leggings,True,pending
lightbringer,lightbringer,True,pending
lime,lime,True,pending
lingeringPotion,lingering_potion,False,pending
lionBoots,lion_boots,True,pending
lionChestplate,lion_chestplate,True,pending
lionCooked,lion_cooked,True,pending
lionFur,lion_fur,True,pending
lionFurBed,lion_fur_bed,True,pending
lionHelmet,lion_helmet,True,pending
lionLeggings,lion_leggings,True,pending
lionRaw,lion_raw,True,pending
lionRug,lion_rug,False,pending
longbow,longbow,True,pending
longclaw,longclaw,True,pending
lorathBoots,lorath_boots,True,pending
lorathChestplate,lorath_chestplate,True,pending
lorathHelmet,lorath_helmet,True,pending
lorathLeggings,lorath_leggings,True,pending
lysBoots,lys_boots,True,pending
lysChestplate,lys_chestplate,True,pending
lysHelmet,lys_helmet,True,pending
lysLeggings,lys_leggings,True,pending
mango,mango,True,pending
mapleSyrup,maple_syrup,True,pending
marzipan,marzipan,True,pending
marzipanChocolate,marzipan_chocolate,True,pending
melonSoup,melon_soup,True,pending
monfordVelaryonBrooch,monford_velaryon_brooch,True,pending
mossovyBoots,mossovy_boots,True,pending
mossovyChestplate,mossovy_chestplate,True,pending
mossovyLeggings,mossovy_leggings,True,pending
mug,mug,True,pending
mugAle,mug_ale,False,pending
mugAppleJuice,mug_apple_juice,False,pending
mugAraq,mug_araq,False,pending
mugBananaBeer,mug_banana_beer,False,pending
mugBlackberryJuice,mug_blackberry_juice,False,pending
mugBlueberryJuice,mug_blueberry_juice,False,pending
mugBrandy,mug_brandy,False,pending
mugCactusLiqueur,mug_cactus_liqueur,False,pending
mugCarrotWine,mug_carrot_wine,False,pending
mugCherryLiqueur,mug_cherry_liqueur,False,pending
mugChocolate,mug_chocolate,False,pending
mugCider,mug_cider,False,pending
mugCocoa,mug_cocoa,False,pending
mugCornLiquor,mug_corn_liquor,False,pending
mugCranberryJuice,mug_cranberry_juice,False,pending
mugElderberryJuice,mug_elderberry_juice,False,pending
mugEthanol,mug_ethanol,False,pending
mugGin,mug_gin,False,pending
mugLemonLiqueur,mug_lemon_liqueur,False,pending
mugLemonade,mug_lemonade,False,pending
mugLimeLiqueur,mug_lime_liqueur,False,pending
mugMangoJuice,mug_mango_juice,False,pending
mugMapleBeer,mug_maple_beer,False,pending
mugMead,mug_mead,False,pending
mugMelonLiqueur,mug_melon_liqueur,False,pending
mugMilk,mug_milk,False,pending
mugOrangeJuice,mug_orange_juice,False,pending
mugPerry,mug_perry,False,pending
mugPlantainBrew,mug_plantain_brew,False,pending
mugPlumKvass,mug_plum_kvass,False,pending
mugPomegranateJuice,mug_pomegranate_juice,False,pending
mugPomegranateWine,mug_pomegranate_wine,False,pending
mugPoppyMilk,mug_poppy_milk,False,pending
mugRaspberryJuice,mug_raspberry_juice,False,pending
mugRedGrapeJuice,mug_red_grape_juice,False,pending
mugRedWine,mug_red_wine,False,pending
mugRum,mug_rum,False,pending
mugSambuca,mug_sambuca,False,pending
mugShadeEvening,mug_shade_evening,False,pending
mugSourMilk,mug_sour_milk,False,pending
mugTermiteTequila,mug_termite_tequila,False,pending
mugUnsulliedTonic,mug_unsullied_tonic,False,pending
mugVodka,mug_vodka,False,pending
mugWater,mug_water,False,pending
mugWhisky,mug_whisky,False,pending
mugWhiteGrapeJuice,mug_white_grape_juice,False,pending
mugWhiteWine,mug_white_wine,False,pending
mugWildFire,mug_wild_fire,False,pending
mushroomPie,mushroom_pie,True,pending
muttonCooked,mutton_cooked,True,pending
muttonRaw,mutton_raw,True,pending
myrBoots,myr_boots,True,pending
myrChestplate,myr_chestplate,True,pending
myrHelmet,myr_helmet,True,pending
myrLeggings,myr_leggings,True,pending
mysteryWeb,mystery_web,True,migrated-catch-up-4
needle,needle,True,pending
nightKingSword,night_king_sword,True,pending
nightfall,nightfall,True,pending
northBoots,north_boots,True,pending
northChestplate,north_chestplate,True,pending
northHelmet,north_helmet,True,pending
northLeggings,north_leggings,True,pending
northguardBoots,northguard_boots,True,pending
northguardChestplate,northguard_chestplate,True,pending
northguardHelmet,northguard_helmet,True,pending
northguardLeggings,northguard_leggings,True,pending
norvosBoots,norvos_boots,True,pending
norvosChestplate,norvos_chestplate,True,pending
norvosHelmet,norvos_helmet,True,pending
norvosLeggings,norvos_leggings,True,pending
npcRespawner,npc_respawner,True,pending
oathkeeper,oathkeeper,True,pending
obsidianAxe,obsidian_axe,True,pending
obsidianBattleaxe,obsidian_battleaxe,True,pending
obsidianDagger,obsidian_dagger,True,pending
obsidianDaggerPoisoned,obsidian_dagger_poisoned,True,pending
obsidianHammer,obsidian_hammer,True,pending
obsidianHoe,obsidian_hoe,True,pending
obsidianMattock,obsidian_mattock,True,pending
obsidianPickaxe,obsidian_pickaxe,True,pending
obsidianPike,obsidian_pike,True,pending
obsidianScimitar,obsidian_scimitar,True,pending
obsidianShard,obsidian_shard,True,pending
obsidianShovel,obsidian_shovel,True,pending
obsidianSpear,obsidian_spear,True,pending
obsidianSword,obsidian_sword,True,pending
obsidianThrowingAxe,obsidian_throwing_axe,True,pending
olive,olive,True,pending
oliveBread,olive_bread,True,pending
opal,opal,True,pending
orange,orange,True,pending
orphanMaker,orphan_maker,True,pending
oryxBoots,oryx_boots,True,pending
oryxChestplate,oryx_chestplate,True,pending
oryxHelmet,oryx_helmet,True,pending
oryxHide,oryx_hide,True,pending
oryxHorn,oryx_horn,True,pending
oryxLeggings,oryx_leggings,True,pending
pancake,pancake,True,pending
pastry,pastry,True,pending
pear,pear,True,pending
pearl,pearl,True,pending
pebble,pebble,True,pending
pentosBoots,pentos_boots,True,pending
pentosChestplate,pentos_chestplate,True,pending
pentosHelmet,pentos_helmet,True,pending
pentosLeggings,pentos_leggings,True,pending
petyrBaelishBrooch,petyr_baelish_brooch,True,pending
petyrBaelishDagger,petyr_baelish_dagger,True,pending
pipe,pipe,True,pending
pipeweed,pipeweed,True,pending
pipeweedLeaf,pipeweed_leaf,True,pending
pipeweedSeeds,pipeweed_seeds,True,pending
plate,plate,True,pending
plowcart,plowcart,True,pending
plum,plum,True,pending
pomegranate,pomegranate,True,pending
pouch,pouch,False,pending
pruner,pruner,True,pending
qarthBoots,qarth_boots,True,pending
qarthChestplate,qarth_chestplate,True,pending
qarthHelmet,qarth_helmet,True,pending
qarthLeggings,qarth_leggings,True,pending
qohorBoots,qohor_boots,True,pending
qohorChestplate,qohor_chestplate,True,pending
qohorHelmet,qohor_helmet,True,pending
qohorLeggings,qohor_leggings,True,pending
questBook,quest_book,True,pending
rabbitCooked,rabbit_cooked,True,pending
rabbitRaw,rabbit_raw,True,pending
rabbitStew,rabbit_stew,True,pending
raisins,raisins,True,pending
raspberry,raspberry,True,pending
reachBoots,reach_boots,True,pending
reachChestplate,reach_chestplate,True,pending
reachHelmet,reach_helmet,True,pending
reachLeggings,reach_leggings,True,pending
reachguardBoots,reachguard_boots,True,pending
reachguardChestplate,reachguard_chestplate,True,pending
reachguardHelmet,reachguard_helmet,True,pending
reachguardLeggings,reachguard_leggings,True,pending
redClayBall,red_clay_ball,True,pending
redRain,red_rain,True,pending
reminder,reminder,True,pending
rhinoArmor,rhino_armor,True,pending
rhinoCooked,rhino_cooked,True,pending
rhinoHorn,rhino_horn,True,pending
rhinoRaw,rhino_raw,True,pending
riverlandsBoots,riverlands_boots,True,pending
riverlandsChestplate,riverlands_chestplate,True,pending
riverlandsHelmet,riverlands_helmet,True,pending
riverlandsLeggings,riverlands_leggings,True,pending
robertBaratheonHammer,robert_baratheon_hammer,True,pending
robertBaratheonHelmet,robert_baratheon_helmet,True,pending
robesBoots,robes_boots,True,pending
robesChestplate,robes_chestplate,True,pending
robesHelmet,robes_helmet,True,pending
robesLeggings,robes_leggings,True,pending
rollingPin,rolling_pin,True,pending
ruby,ruby,True,pending
salt,salt,True,migrated-m1
saltedFlesh,salted_flesh,True,migrated-catch-up-4
saltpeter,saltpeter,True,pending
sandorCleganeHelmet,sandor_clegane_helmet,True,pending
sandorCleganeSword,sandor_clegane_sword,True,pending
sapphire,sapphire,True,pending
sarbacane,sarbacane,True,pending
seedsGrapeRed,seeds_grape_red,True,pending
seedsGrapeWhite,seeds_grape_white,True,pending
shishKebab,shish_kebab,True,pending
silverIngot,silver_ingot,True,pending
silverNugget,silver_nugget,True,pending
silverRing,silver_ring,True,pending
skullCup,skull_cup,True,pending
skullStaff,skull_staff,True,pending
sling,sling,True,pending
smithScroll,smith_scroll,True,pending
sothoryosBoots,sothoryos_boots,True,pending
sothoryosChestplate,sothoryos_chestplate,True,pending
sothoryosDoubleTorch,sothoryos_double_torch,True,pending
sothoryosHelmet,sothoryos_helmet,True,pending
sothoryosHelmetChieftain,sothoryos_helmet_chieftain,True,pending
sothoryosLeggings,sothoryos_leggings,True,pending
spawnEgg,spawn_egg,False,pending
stoneBattleaxe,stone_battleaxe,True,pending
stoneDagger,stone_dagger,True,pending
stoneDaggerPoisoned,stone_dagger_poisoned,True,pending
stoneHammer,stone_hammer,True,pending
stoneMattock,stone_mattock,True,pending
stonePike,stone_pike,True,pending
stoneScimitar,stone_scimitar,True,pending
stoneSpear,stone_spear,True,pending
stoneThrowingAxe,stone_throwing_axe,True,pending
stormlandsBoots,stormlands_boots,True,pending
stormlandsChestplate,stormlands_chestplate,True,pending
stormlandsHelmet,stormlands_helmet,True,pending
stormlandsLeggings,stormlands_leggings,True,pending
strawBed,straw_bed,True,pending
structureSpawner,structure_spawner,False,pending
sulfur,sulfur,True,pending
sulfurMatch,sulfur_match,True,pending
summerBoots,summer_boots,True,pending
summerChestplate,summer_chestplate,True,pending
summerHelmet,summer_helmet,True,pending
summerLeggings,summer_leggings,True,pending
sunspear,sunspear,True,pending
targaryenBoots,targaryen_boots,True,pending
targaryenChestplate,targaryen_chestplate,True,pending
targaryenHelmet,targaryen_helmet,True,pending
targaryenLeggings,targaryen_leggings,True,pending
termite,termite,True,pending
tidewings,tidewings,True,pending
tinIngot,tin_ingot,True,pending
topaz,topaz,True,pending
trident,trident,True,pending
truth,truth,True,pending
turnip,turnip,True,pending
turnipCooked,turnip_cooked,True,pending
tyrionLannisterBrooch,tyrion_lannister_brooch,True,pending
tyroshBoots,tyrosh_boots,True,pending
tyroshChestplate,tyrosh_chestplate,True,pending
tyroshHelmet,tyrosh_helmet,True,pending
tyroshLeggings,tyrosh_leggings,True,pending
unsulliedBoots,unsullied_boots,True,pending
unsulliedChestplate,unsullied_chestplate,True,pending
unsulliedHelmet,unsullied_helmet,True,pending
unsulliedLeggings,unsullied_leggings,True,pending
valyrianAxe,valyrian_axe,True,pending
valyrianBattleaxe,valyrian_battleaxe,True,pending
valyrianBoots,valyrian_boots,True,pending
valyrianChainmailBoots,valyrian_chainmail_boots,True,pending
valyrianChainmailChestplate,valyrian_chainmail_chestplate,True,pending
valyrianChainmailHelmet,valyrian_chainmail_helmet,True,pending
valyrianChainmailLeggings,valyrian_chainmail_leggings,True,pending
valyrianChestplate,valyrian_chestplate,True,pending
valyrianChisel,valyrian_chisel,True,pending
valyrianCrossbow,valyrian_crossbow,True,pending
valyrianDagger,valyrian_dagger,True,pending
valyrianDaggerPoisoned,valyrian_dagger_poisoned,True,pending
valyrianGreatsword,valyrian_greatsword,True,pending
valyrianHammer,valyrian_hammer,True,pending
valyrianHelmet,valyrian_helmet,True,pending
valyrianHoe,valyrian_hoe,True,pending
valyrianIngot,valyrian_ingot,True,pending
valyrianLeggings,valyrian_leggings,True,pending
valyrianLongsword,valyrian_longsword,True,pending
valyrianMattock,valyrian_mattock,True,pending
valyrianNugget,valyrian_nugget,True,pending
valyrianPickaxe,valyrian_pickaxe,True,pending
valyrianPike,valyrian_pike,True,pending
valyrianRing,valyrian_ring,True,pending
valyrianScimitar,valyrian_scimitar,True,pending
valyrianShovel,valyrian_shovel,True,pending
valyrianSpear,valyrian_spear,True,pending
valyrianSword,valyrian_sword,True,pending
valyrianThrowingAxe,valyrian_throwing_axe,True,pending
vigilance,vigilance,True,pending
volantisBoots,volantis_boots,True,pending
volantisChestplate,volantis_chestplate,True,pending
volantisHelmet,volantis_helmet,True,pending
volantisLeggings,volantis_leggings,True,pending
walkingStick,walking_stick,True,pending
walrusLardCooked,walrus_lard_cooked,True,pending
walrusLardRaw,walrus_lard_raw,True,pending
warhorn,warhorn,False,pending
waterskin,waterskin,True,pending
westerlandsBoots,westerlands_boots,True,pending
westerlandsChestplate,westerlands_chestplate,True,pending
westerlandsHelmet,westerlands_helmet,True,pending
westerlandsLeggings,westerlands_leggings,True,pending
westerlandsguardBoots,westerlandsguard_boots,True,pending
westerlandsguardChestplate,westerlandsguard_chestplate,True,pending
westerlandsguardHelmet,westerlandsguard_helmet,True,pending
westerlandsguardLeggings,westerlandsguard_leggings,True,pending
wheel,wheel,True,pending
whiteBisonHorn,white_bison_horn,True,pending
whiteWalkersBoots,white_walkers_boots,True,pending
whiteWalkersChestplate,white_walkers_chestplate,True,pending
whiteWalkersLeggings,white_walkers_leggings,True,pending
widowWail,widow_wail,True,pending
wildberry,wildberry,True,pending
wineGlass,wine_glass,True,pending
woodBattleaxe,wood_battleaxe,True,pending
woodDagger,wood_dagger,True,pending
woodDaggerPoisoned,wood_dagger_poisoned,True,pending
woodHammer,wood_hammer,True,pending
woodMattock,wood_mattock,True,pending
woodPike,wood_pike,True,pending
woodScimitar,wood_scimitar,True,pending
woodSpear,wood_spear,True,pending
woodThrowingAxe,wood_throwing_axe,True,pending
yam,yam,True,pending
yamRoast,yam_roast,True,pending
yiTiBombardierBoots,yi_ti_bombardier_boots,True,pending
yiTiBombardierChestplate,yi_ti_bombardier_chestplate,True,pending
yiTiBombardierHelmet,yi_ti_bombardier_helmet,True,pending
yiTiBombardierLeggings,yi_ti_bombardier_leggings,True,pending
yiTiBoots,yi_ti_boots,True,pending
yiTiChestplate,yi_ti_chestplate,True,pending
yiTiHelmet,yi_ti_helmet,True,pending
yiTiHelmetCaptain,yi_ti_helmet_captain,True,pending
yiTiLeggings,yi_ti_leggings,True,pending
yiTiSamuraiBoots,yi_ti_samurai_boots,True,pending
yiTiSamuraiChestplate,yi_ti_samurai_chestplate,True,pending
yiTiSamuraiHelmet,yi_ti_samurai_helmet,True,pending
yiTiSamuraiLeggings,yi_ti_samurai_leggings,True,pending
zebraCooked,zebra_cooked,True,pending
zebraRaw,zebra_raw,True,pending
