family_id,base_block,display_name,material,parts,base_texture,base_model,stairs_id,slab_id,wall_id,fence_id,fence_gate_id,door_id,trapdoor_id,beam_id,stairs_name,slab_name,wall_name,fence_name,fence_gate_name,door_name,trapdoor_name,beam_name,door_bottom_texture,door_top_texture,door_item_texture,trapdoor_texture,beam_side_texture,beam_end_texture
holly,got:holly_planks,Holly,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/holly_planks,got:block/holly_planks,stairs_holly,wood_slab_holly,,fence_holly,fence_gate_holly,door_holly,trapdoor_holly,wood_beam_holly,Holly Wood Stairs,Holly Wood Slab,,Holly Fence,Holly Fence Gate,Holly Door,Holly Trapdoor,Holly Wood Beam,got:block/door_holly_lower,got:block/door_holly_upper,got:item/door_holly,got:block/trapdoor_holly,got:block/wood_beam2_holly_side,got:block/wood_beam2_holly_top
banana,got:banana_planks,Banana,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/banana_planks,got:block/banana_planks,stairs_banana,wood_slab_banana,,fence_banana,fence_gate_banana,door_banana,trapdoor_banana,wood_beam_banana,Banana Wood Stairs,Banana Wood Slab,,Banana Fence,Banana Fence Gate,Banana Door,Banana Trapdoor,Banana Wood Beam,got:block/door_banana_lower,got:block/door_banana_upper,got:item/door_banana,got:block/trapdoor_banana,got:block/wood_beam2_banana_side,got:block/wood_beam2_banana_top
maple,got:maple_planks,Maple,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/maple_planks,got:block/maple_planks,stairs_maple,wood_slab_maple,,fence_maple,fence_gate_maple,door_maple,trapdoor_maple,wood_beam_maple,Maple Wood Stairs,Maple Wood Slab,,Maple Fence,Maple Fence Gate,Maple Door,Maple Trapdoor,Maple Wood Beam,got:block/door_maple_lower,got:block/door_maple_upper,got:item/door_maple,got:block/trapdoor_maple,got:block/wood_beam3_maple_side,got:block/wood_beam3_maple_top
larch,got:larch_planks,Larch,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/larch_planks,got:block/larch_planks,stairs_larch,wood_slab_larch,,fence_larch,fence_gate_larch,door_larch,trapdoor_larch,wood_beam_larch,Larch Wood Stairs,Larch Wood Slab,,Larch Fence,Larch Fence Gate,Larch Door,Larch Trapdoor,Larch Wood Beam,got:block/door_larch_lower,got:block/door_larch_upper,got:item/door_larch,got:block/trapdoor_larch,got:block/wood_beam3_larch_side,got:block/wood_beam3_larch_top
date_palm,got:date_palm_planks,Date Palm,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/date_palm_planks,got:block/date_palm_planks,stairs_date_palm,wood_slab_date_palm,,fence_date_palm,fence_gate_date_palm,door_date_palm,trapdoor_date_palm,wood_beam_date_palm,Date Palm Wood Stairs,Date Palm Wood Slab,,Date Palm Fence,Date Palm Fence Gate,Date Palm Door,Date Palm Trapdoor,Date Palm Wood Beam,got:block/door_date_palm_lower,got:block/door_date_palm_upper,got:item/door_date_palm,got:block/trapdoor_date_palm,got:block/wood_beam3_date_palm_side,got:block/wood_beam3_date_palm_top
mangrove,got:mangrove_planks,Mangrove,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/mangrove_planks,got:block/mangrove_planks,stairs_mangrove,wood_slab_mangrove,,fence_mangrove,fence_gate_mangrove,door_mangrove,trapdoor_mangrove,wood_beam_mangrove,Mangrove Wood Stairs,Mangrove Wood Slab,,Mangrove Fence,Mangrove Fence Gate,Mangrove Door,Mangrove Trapdoor,Mangrove Wood Beam,got:block/door_mangrove_lower,got:block/door_mangrove_upper,got:item/door_mangrove,got:block/trapdoor_mangrove,got:block/wood_beam3_mangrove_side,got:block/wood_beam3_mangrove_top
chestnut,got:chestnut_planks,Chestnut,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/chestnut_planks,got:block/chestnut_planks,stairs_chestnut,wood_slab_chestnut,,fence_chestnut,fence_gate_chestnut,door_chestnut,trapdoor_chestnut,wood_beam_chestnut,Chestnut Wood Stairs,Chestnut Wood Slab,,Chestnut Fence,Chestnut Fence Gate,Chestnut Door,Chestnut Trapdoor,Chestnut Wood Beam,got:block/door_chestnut_lower,got:block/door_chestnut_upper,got:item/door_chestnut,got:block/trapdoor_chestnut,got:block/wood_beam4_chestnut_side,got:block/wood_beam4_chestnut_top
baobab,got:baobab_planks,Baobab,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/baobab_planks,got:block/baobab_planks,stairs_baobab,wood_slab_baobab,,fence_baobab,fence_gate_baobab,door_baobab,trapdoor_baobab,wood_beam_baobab,Baobab Wood Stairs,Baobab Wood Slab,,Baobab Fence,Baobab Fence Gate,Baobab Door,Baobab Trapdoor,Baobab Wood Beam,got:block/door_baobab_lower,got:block/door_baobab_upper,got:item/door_baobab,got:block/trapdoor_baobab,got:block/wood_beam4_baobab_side,got:block/wood_beam4_baobab_top
cedar,got:cedar_planks,Cedar,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/cedar_planks,got:block/cedar_planks,stairs_cedar,wood_slab_cedar,,fence_cedar,fence_gate_cedar,door_cedar,trapdoor_cedar,wood_beam_cedar,Cedar Wood Stairs,Cedar Wood Slab,,Cedar Fence,Cedar Fence Gate,Cedar Door,Cedar Trapdoor,Cedar Wood Beam,got:block/door_cedar_lower,got:block/door_cedar_upper,got:item/door_cedar,got:block/trapdoor_cedar,got:block/wood_beam4_cedar_side,got:block/wood_beam4_cedar_top
fir,got:fir_planks,Fir,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/fir_planks,got:block/fir_planks,stairs_fir,wood_slab_fir,,fence_fir,fence_gate_fir,door_fir,trapdoor_fir,wood_beam_fir,Fir Wood Stairs,Fir Wood Slab,,Fir Fence,Fir Fence Gate,Fir Door,Fir Trapdoor,Fir Wood Beam,got:block/door_fir_lower,got:block/door_fir_upper,got:item/door_fir,got:block/trapdoor_fir,got:block/wood_beam4_fir_side,got:block/wood_beam4_fir_top
pine,got:pine_planks,Pine,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/pine_planks,got:block/pine_planks,stairs_pine,wood_slab_pine,,fence_pine,fence_gate_pine,door_pine,trapdoor_pine,wood_beam_pine,Pine Wood Stairs,Pine Wood Slab,,Pine Fence,Pine Fence Gate,Pine Door,Pine Trapdoor,Pine Wood Beam,got:block/door_pine_lower,got:block/door_pine_upper,got:item/door_pine,got:block/trapdoor_pine,got:block/wood_beam5_pine_side,got:block/wood_beam5_pine_top
lemon,got:lemon_planks,Lemon,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/lemon_planks,got:block/lemon_planks,stairs_lemon,wood_slab_lemon,,fence_lemon,fence_gate_lemon,door_lemon,trapdoor_lemon,wood_beam_lemon,Lemon Wood Stairs,Lemon Wood Slab,,Lemon Fence,Lemon Fence Gate,Lemon Door,Lemon Trapdoor,Lemon Wood Beam,got:block/door_lemon_lower,got:block/door_lemon_upper,got:item/door_lemon,got:block/trapdoor_lemon,got:block/wood_beam5_lemon_side,got:block/wood_beam5_lemon_top
orange,got:orange_planks,Orange,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/orange_planks,got:block/orange_planks,stairs_orange,wood_slab_orange,,fence_orange,fence_gate_orange,door_orange,trapdoor_orange,wood_beam_orange,Orange Wood Stairs,Orange Wood Slab,,Orange Fence,Orange Fence Gate,Orange Door,Orange Trapdoor,Orange Wood Beam,got:block/door_orange_lower,got:block/door_orange_upper,got:item/door_orange,got:block/trapdoor_orange,got:block/wood_beam5_orange_side,got:block/wood_beam5_orange_top
lime,got:lime_planks,Lime,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/lime_planks,got:block/lime_planks,stairs_lime,wood_slab_lime,,fence_lime,fence_gate_lime,door_lime,trapdoor_lime,wood_beam_lime,Lime Wood Stairs,Lime Wood Slab,,Lime Fence,Lime Fence Gate,Lime Door,Lime Trapdoor,Lime Wood Beam,got:block/door_lime_lower,got:block/door_lime_upper,got:item/door_lime,got:block/trapdoor_lime,got:block/wood_beam5_lime_side,got:block/wood_beam5_lime_top
mahogany,got:mahogany_planks,Mahogany,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/mahogany_planks,got:block/mahogany_planks,stairs_mahogany,wood_slab_mahogany,,fence_mahogany,fence_gate_mahogany,door_mahogany,trapdoor_mahogany,wood_beam_mahogany,Mahogany Wood Stairs,Mahogany Wood Slab,,Mahogany Fence,Mahogany Fence Gate,Mahogany Door,Mahogany Trapdoor,Mahogany Wood Beam,got:block/door_mahogany_lower,got:block/door_mahogany_upper,got:item/door_mahogany,got:block/trapdoor_mahogany,got:block/wood_beam6_mahogany_side,got:block/wood_beam6_mahogany_top
willow,got:willow_planks,Willow,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/willow_planks,got:block/willow_planks,stairs_willow,wood_slab_willow,,fence_willow,fence_gate_willow,door_willow,trapdoor_willow,wood_beam_willow,Willow Wood Stairs,Willow Wood Slab,,Willow Fence,Willow Fence Gate,Willow Door,Willow Trapdoor,Willow Wood Beam,got:block/door_willow_lower,got:block/door_willow_upper,got:item/door_willow,got:block/trapdoor_willow,got:block/wood_beam6_willow_side,got:block/wood_beam6_willow_top
cypress,got:cypress_planks,Cypress,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/cypress_planks,got:block/cypress_planks,stairs_cypress,wood_slab_cypress,,fence_cypress,fence_gate_cypress,door_cypress,trapdoor_cypress,wood_beam_cypress,Cypress Wood Stairs,Cypress Wood Slab,,Cypress Fence,Cypress Fence Gate,Cypress Door,Cypress Trapdoor,Cypress Wood Beam,got:block/door_cypress_lower,got:block/door_cypress_upper,got:item/door_cypress,got:block/trapdoor_cypress,got:block/wood_beam6_cypress_side,got:block/wood_beam6_cypress_top
olive,got:olive_planks,Olive,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/olive_planks,got:block/olive_planks,stairs_olive,wood_slab_olive,,fence_olive,fence_gate_olive,door_olive,trapdoor_olive,wood_beam_olive,Olive Wood Stairs,Olive Wood Slab,,Olive Fence,Olive Fence Gate,Olive Door,Olive Trapdoor,Olive Wood Beam,got:block/door_olive_lower,got:block/door_olive_upper,got:item/door_olive,got:block/trapdoor_olive,got:block/wood_beam6_olive_side,got:block/wood_beam6_olive_top
aspen,got:aspen_planks,Aspen,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/aspen_planks,got:block/aspen_planks,stairs_aspen,wood_slab_aspen,,fence_aspen,fence_gate_aspen,door_aspen,trapdoor_aspen,wood_beam_aspen,Aspen Wood Stairs,Aspen Wood Slab,,Aspen Fence,Aspen Fence Gate,Aspen Door,Aspen Trapdoor,Aspen Wood Beam,got:block/door_aspen_lower,got:block/door_aspen_upper,got:item/door_aspen,got:block/trapdoor_aspen,got:block/wood_beam7_aspen_side,got:block/wood_beam7_aspen_top
green_oak,got:green_oak_planks,Green-oak,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/green_oak_planks,got:block/green_oak_planks,stairs_green_oak,wood_slab_green_oak,,fence_green_oak,fence_gate_green_oak,door_green_oak,trapdoor_green_oak,wood_beam_green_oak,Green-oak Wood Stairs,Green-oak Wood Slab,,Green-oak Fence,Green-oak Fence Gate,Green-oak Door,Green-oak Trapdoor,Green-oak Wood Beam,got:block/door_green_oak_lower,got:block/door_green_oak_upper,got:item/door_green_oak,got:block/trapdoor_green_oak,got:block/wood_beam7_green_oak_side,got:block/wood_beam7_green_oak_top
fotinia,got:fotinia_planks,Fotinia,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/fotinia_planks,got:block/fotinia_planks,stairs_fotinia,wood_slab_fotinia,,fence_fotinia,fence_gate_fotinia,door_fotinia,trapdoor_fotinia,wood_beam_fotinia,Fotinia Wood Stairs,Fotinia Wood Slab,,Fotinia Fence,Fotinia Fence Gate,Fotinia Door,Fotinia Trapdoor,Fotinia Wood Beam,got:block/door_fotinia_lower,got:block/door_fotinia_upper,got:item/door_fotinia,got:block/trapdoor_fotinia,got:block/wood_beam7_fotinia_side,got:block/wood_beam7_fotinia_top
almond,got:almond_planks,Almond,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/almond_planks,got:block/almond_planks,stairs_almond,wood_slab_almond,,fence_almond,fence_gate_almond,door_almond,trapdoor_almond,wood_beam_almond,Almond Wood Stairs,Almond Wood Slab,,Almond Fence,Almond Fence Gate,Almond Door,Almond Trapdoor,Almond Wood Beam,got:block/door_almond_lower,got:block/door_almond_upper,got:item/door_almond,got:block/trapdoor_almond,got:block/wood_beam7_almond_side,got:block/wood_beam7_almond_top
plum,got:plum_planks,Plum,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/plum_planks,got:block/plum_planks,stairs_plum,wood_slab_plum,,fence_plum,fence_gate_plum,door_plum,trapdoor_plum,wood_beam_plum,Plum Wood Stairs,Plum Wood Slab,,Plum Fence,Plum Fence Gate,Plum Door,Plum Trapdoor,Plum Wood Beam,got:block/door_plum_lower,got:block/door_plum_upper,got:item/door_plum,got:block/trapdoor_plum,got:block/wood_beam8_plum_side,got:block/wood_beam8_plum_top
redwood,got:redwood_planks,Ironwood,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/redwood_planks,got:block/redwood_planks,stairs_redwood,wood_slab_redwood,,fence_redwood,fence_gate_redwood,door_redwood,trapdoor_redwood,wood_beam_redwood,Ironwood Wood Stairs,Ironwood Wood Slab,,Ironwood Fence,Ironwood Fence Gate,Ironwood Door,Ironwood Trapdoor,Ironwood Wood Beam,got:block/door_redwood_lower,got:block/door_redwood_upper,got:item/door_redwood,got:block/trapdoor_redwood,got:block/wood_beam8_redwood_side,got:block/wood_beam8_redwood_top
pomegranate,got:pomegranate_planks,Pomegranate,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/pomegranate_planks,got:block/pomegranate_planks,stairs_pomegranate,wood_slab_pomegranate,,fence_pomegranate,fence_gate_pomegranate,door_pomegranate,trapdoor_pomegranate,wood_beam_pomegranate,Pomegranate Wood Stairs,Pomegranate Wood Slab,,Pomegranate Fence,Pomegranate Fence Gate,Pomegranate Door,Pomegranate Trapdoor,Pomegranate Wood Beam,got:block/door_pomegranate_lower,got:block/door_pomegranate_upper,got:item/door_pomegranate,got:block/trapdoor_pomegranate,got:block/wood_beam8_pomegranate_side,got:block/wood_beam8_pomegranate_top
palm,got:palm_planks,Palm,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/palm_planks,got:block/palm_planks,stairs_palm,wood_slab_palm,,fence_palm,fence_gate_palm,door_palm,trapdoor_palm,wood_beam_palm,Palm Wood Stairs,Palm Wood Slab,,Palm Fence,Palm Fence Gate,Palm Door,Palm Trapdoor,Palm Wood Beam,got:block/door_palm_lower,got:block/door_palm_upper,got:item/door_palm,got:block/trapdoor_palm,got:block/wood_beam8_palm_side,got:block/wood_beam8_palm_top
dragon,got:dragon_planks,Dragonblood,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/dragon_planks,got:block/dragon_planks,stairs_dragon,wood_slab_dragon,,fence_dragon,fence_gate_dragon,door_dragon,trapdoor_dragon,wood_beam_dragon,Dragonblood Wood Stairs,Dragonblood Wood Slab,,Dragonblood Fence,Dragonblood Fence Gate,Dragonblood Door,Dragonblood Trapdoor,Dragonblood Wood Beam,got:block/door_dragon_lower,got:block/door_dragon_upper,got:item/door_dragon,got:block/trapdoor_dragon,got:block/wood_beam9_dragon_side,got:block/wood_beam9_dragon_top
kanuka,got:kanuka_planks,Kanuka,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/kanuka_planks,got:block/kanuka_planks,stairs_kanuka,wood_slab_kanuka,,fence_kanuka,fence_gate_kanuka,door_kanuka,trapdoor_kanuka,wood_beam_kanuka,Kanuka Wood Stairs,Kanuka Wood Slab,,Kanuka Fence,Kanuka Fence Gate,Kanuka Door,Kanuka Trapdoor,Kanuka Wood Beam,got:block/door_kanuka_lower,got:block/door_kanuka_upper,got:item/door_kanuka,got:block/trapdoor_kanuka,got:block/wood_beam9_kanuka_side,got:block/wood_beam9_kanuka_top
weirwood,got:weirwood_planks,Weirwood,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/weirwood_planks,got:block/weirwood_planks,stairs_weirwood,wood_slab_weirwood,,fence_weirwood,fence_gate_weirwood,door_weirwood,trapdoor_weirwood,wood_beam_weirwood,Weirwood Stairs,Weirwood Slab,,Weirwood Fence,Weirwood Fence Gate,Weirwood Door,Weirwood Trapdoor,Weirwood Beam,got:block/door_weirwood_lower,got:block/door_weirwood_upper,got:item/door_weirwood,got:block/trapdoor_weirwood,got:block/wood_beam9_weirwood_side,got:block/wood_beam9_weirwood_top
rotten,got:rotten_planks,Rotten,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/rotten_planks,got:block/rotten_planks,stairs_rotten,wood_slab_rotten,,fence_rotten,fence_gate_rotten,door_rotten,trapdoor_rotten,wood_beam_rotten,Rotten Wood Stairs,Rotten Wood Slab,,Rotten Fence,Rotten Fence Gate,Rotten Door,Rotten Trapdoor,Rotten Wood Beam,got:block/door_rotten_lower,got:block/door_rotten_upper,got:item/door_rotten,got:block/trapdoor_rotten,got:block/wood_beam_rotten_rotten_side,got:block/wood_beam_rotten_rotten_top
vanilla_oak,minecraft:oak_planks,Oak,wood,beam,minecraft:block/oak_planks,minecraft:block/oak_planks,,,,,,,,wood_beam_oak,,,,,,,,Oak Wood Beam,,,,,got:block/wood_beam_v1_oak_side,got:block/wood_beam_v1_oak_top
vanilla_spruce,minecraft:spruce_planks,Spruce,wood,beam,minecraft:block/spruce_planks,minecraft:block/spruce_planks,,,,,,,,wood_beam_spruce,,,,,,,,Spruce Wood Beam,,,,,got:block/wood_beam_v1_spruce_side,got:block/wood_beam_v1_spruce_top
vanilla_birch,minecraft:birch_planks,Birch,wood,beam,minecraft:block/birch_planks,minecraft:block/birch_planks,,,,,,,,wood_beam_birch,,,,,,,,Birch Wood Beam,,,,,got:block/wood_beam_v1_birch_side,got:block/wood_beam_v1_birch_top
vanilla_jungle,minecraft:jungle_planks,Jungle,wood,beam,minecraft:block/jungle_planks,minecraft:block/jungle_planks,,,,,,,,wood_beam_jungle,,,,,,,,Jungle Wood Beam,,,,,got:block/wood_beam_v1_jungle_side,got:block/wood_beam_v1_jungle_top
vanilla_acacia,minecraft:acacia_planks,Acacia,wood,beam,minecraft:block/acacia_planks,minecraft:block/acacia_planks,,,,,,,,wood_beam_acacia,,,,,,,,Acacia Wood Beam,,,,,got:block/wood_beam_v2_acacia_side,got:block/wood_beam_v2_acacia_top
vanilla_dark_oak,minecraft:dark_oak_planks,Dark Oak,wood,beam,minecraft:block/dark_oak_planks,minecraft:block/dark_oak_planks,,,,,,,,wood_beam_dark_oak,,,,,,,,Dark Oak Wood Beam,,,,,got:block/wood_beam_v2_dark_oak_side,got:block/wood_beam_v2_dark_oak_top
andesite_brick,got:andesite_bricks,Andesite Brick,masonry,stairs;slab;wall,got:block/andesite_bricks,got:block/andesite_bricks,stairs_andesite_brick,andesite_brick_slab,andesite_brick_wall,,,,,,Andesite Brick Stairs,Andesite Brick Slab,Andesite Brick Wall,,,,,,,,,,,
cracked_andesite_brick,got:cracked_andesite_bricks,Cracked Andesite Brick,masonry,stairs;slab;wall,got:block/cracked_andesite_bricks,got:block/cracked_andesite_bricks,stairs_andesite_brick_cracked,cracked_andesite_brick_slab,cracked_andesite_brick_wall,,,,,,Cracked Andesite Brick Stairs,Cracked Andesite Brick Slab,Cracked Andesite Brick Wall,,,,,,,,,,,
mossy_andesite_brick,got:mossy_andesite_bricks,Mossy Andesite Brick,masonry,stairs;slab;wall,got:block/mossy_andesite_bricks,got:block/mossy_andesite_bricks,stairs_andesite_brick_mossy,mossy_andesite_brick_slab,mossy_andesite_brick_wall,,,,,,Mossy Andesite Brick Stairs,Mossy Andesite Brick Slab,Mossy Andesite Brick Wall,,,,,,,,,,,
basalt_brick,got:basalt_westeros_bricks,Basalt Brick,masonry,stairs;slab;wall,got:block/basalt_westeros_bricks,got:block/basalt_westeros_bricks,stairs_basalt_brick,basalt_brick_slab,basalt_brick_wall,,,,,,Basalt Brick Stairs,Basalt Brick Slab,Basalt Brick Wall,,,,,,,,,,,
asshai_basalt_brick,got:basalt_bricks,Asshai Basalt Brick,masonry,stairs;slab;wall,got:block/basalt_bricks,got:block/basalt_bricks,stairs_basalt_brick_asshai,asshai_basalt_brick_slab,asshai_basalt_brick_wall,,,,,,Asshai Basalt Brick Stairs,Asshai Basalt Brick Slab,Asshai Basalt Brick Wall,,,,,,,,,,,
asshai_cracked_basalt_brick,got:cracked_basalt_bricks,Asshai Cracked Basalt Brick,masonry,stairs;slab;wall,got:block/cracked_basalt_bricks,got:block/cracked_basalt_bricks,stairs_basalt_brick_asshai_cracked,asshai_cracked_basalt_brick_slab,asshai_cracked_basalt_brick_wall,,,,,,Asshai Cracked Basalt Brick Stairs,Asshai Cracked Basalt Brick Slab,Asshai Cracked Basalt Brick Wall,,,,,,,,,,,
diorite_brick,got:diorite_bricks,Diorite Brick,masonry,stairs;slab;wall,got:block/diorite_bricks,got:block/diorite_bricks,stairs_diorite_brick,diorite_brick_slab,diorite_brick_wall,,,,,,Diorite Brick Stairs,Diorite Brick Slab,Diorite Brick Wall,,,,,,,,,,,
granite_brick,got:granite_bricks,Granite Brick,masonry,stairs;slab;wall,got:block/granite_bricks,got:block/granite_bricks,stairs_granite_brick,granite_brick_slab,granite_brick_wall,,,,,,Granite Brick Stairs,Granite Brick Slab,Granite Brick Wall,,,,,,,,,,,
